sample_id,tile_id,biome,mae_m,rmse_m,pearson_r,absrel,delta1,delta2,delta3,oracle_mae_m,oracle_rmse_m,oracle_pearson_r,valid_pixels
potsdam_4_15_018,4_15,urban,3.1943,3.704,0.7754,0.0926,0.9548,1.0,1.0,1.6439,2.2342,0.7754,262144
potsdam_4_15_019,4_15,urban,3.1669,3.4192,0.9331,0.0949,1.0,1.0,1.0,0.5589,0.7953,0.9331,262144
potsdam_4_15_020,4_15,urban,6.4901,7.1275,0.9254,0.1417,0.897,1.0,1.0,2.4365,3.0127,0.9254,262144
potsdam_4_15_021,4_15,urban,4.3909,5.026,0.5191,0.1149,0.9304,1.0,1.0,4.0182,4.8794,0.5191,262144
potsdam_4_15_022,4_15,urban,2.5193,2.7049,0.9426,0.0748,0.9968,1.0,1.0,1.0716,1.7158,0.9426,262144
potsdam_4_15_023,4_15,urban,3.0425,3.2596,0.8831,0.0903,1.0,1.0,1.0,0.7968,1.13,0.8831,262144
potsdam_4_15_024,4_15,urban,3.9805,4.1306,0.9207,0.1219,0.9997,1.0,1.0,0.6155,0.8203,0.9207,262144
potsdam_5_11_000,5_11,urban,2.5831,2.8606,0.898,0.0733,0.9996,1.0,1.0,1.5276,2.1242,0.898,262144
potsdam_5_11_001,5_11,urban,3.2904,3.6825,0.7024,0.0977,0.9935,1.0,1.0,0.9366,1.1693,0.7024,262144
potsdam_5_11_002,5_11,urban,3.9866,4.6021,0.8683,0.1004,0.9991,1.0,1.0,2.4094,3.0317,0.8683,262144
potsdam_5_11_003,5_11,urban,1.4101,2.02,0.8491,0.0372,0.9977,1.0,1.0,1.2891,1.9377,0.8491,262144
potsdam_5_11_004,5_11,urban,4.6404,6.3699,0.5404,0.1095,0.7768,1.0,1.0,4.801,6.02,0.5404,262144
potsdam_5_11_005,5_11,urban,1.9843,2.1254,0.9255,0.0601,1.0,1.0,1.0,0.5941,1.207,0.9255,262144
potsdam_5_11_006,5_11,urban,3.8804,4.3723,0.3096,0.12,0.9475,1.0,1.0,0.2438,0.4535,0.3096,262144
potsdam_5_11_007,5_11,urban,5.5556,6.0622,0.31,0.1705,0.8193,1.0,1.0,0.1641,0.4457,0.31,262144
potsdam_5_11_008,5_11,urban,4.4768,5.1085,0.0846,0.1371,0.8932,0.9994,0.9995,0.3958,0.9379,0.0846,262144
potsdam_5_11_009,5_11,urban,4.3529,4.4978,-0.4767,0.1341,0.9896,1.0,1.0,0.1514,0.1904,-0.4767,262144
potsdam_5_11_010,5_11,urban,2.9425,3.2595,0.7457,0.0896,0.9972,1.0,1.0,1.3376,1.771,0.7457,262144
potsdam_5_11_011,5_11,urban,1.9788,2.3311,0.9626,0.0571,0.9999,1.0,1.0,0.9306,1.3153,0.9626,262144
potsdam_5_11_012,5_11,urban,5.0596,6.1951,0.7428,0.1086,0.887,1.0,1.0,3.4515,4.0595,0.7428,262144
potsdam_5_11_013,5_11,urban,3.4806,4.7488,0.2444,0.0834,0.8751,1.0,1.0,3.8034,4.4936,0.2444,262144
potsdam_5_11_014,5_11,urban,1.7587,1.8879,0.9747,0.0511,1.0,1.0,1.0,0.6569,1.0175,0.9747,262144
potsdam_5_11_015,5_11,urban,3.5288,4.4244,0.7409,0.1021,0.9662,1.0,1.0,3.2557,3.7023,0.7409,262144
potsdam_5_11_016,5_11,urban,2.4385,2.6585,0.8012,0.0676,0.9987,1.0,1.0,1.7296,2.362,0.8012,262144
potsdam_5_11_017,5_11,urban,5.7787,6.3588,0.8703,0.1282,0.9675,1.0,1.0,1.7991,2.4927,0.8703,262144
potsdam_5_11_018,5_11,urban,2.8162,3.1444,0.7108,0.0707,1.0,1.0,1.0,2.4364,2.8631,0.7108,262144
potsdam_5_11_019,5_11,urban,2.2744,2.7213,0.8918,0.0642,0.9985,1.0,1.0,1.6783,2.214,0.8918,262144
potsdam_5_11_020,5_11,urban,2.1082,3.0431,0.8488,0.0549,0.9608,1.0,1.0,1.7889,2.8775,0.8488,262144
potsdam_5_11_021,5_11,urban,2.5072,2.8746,0.8917,0.0681,0.9902,1.0,1.0,1.5125,2.2787,0.8917,262144
potsdam_5_11_022,5_11,urban,2.1371,2.4302,0.92,0.0583,0.9998,1.0,1.0,1.402,1.8936,0.92,262144
potsdam_5_11_023,5_11,urban,2.5852,2.8491,0.8981,0.0767,1.0,1.0,1.0,1.4336,1.7585,0.8981,262144
potsdam_5_11_024,5_11,urban,3.2951,3.6271,0.92,0.0937,0.9999,1.0,1.0,1.5668,2.1765,0.92,262144
